拯救大兵瑞恩,https://maoyan.com/films/733,https://z3.ax1x.com/2021/05/31/2ZrxBt.jpg,zjdbre,"战争,zz",,"斯皮尔伯格,spebg,汤姆汉克斯,tmhks,马特达蒙,mtdm","推荐,tj,ztj1",1998,"<a href=""https://maoyan.com/films/733""><img src=""https://z3.ax1x.com/2021/05/31/2ZrxBt.jpg"" tag=""拯救大兵瑞恩,zjdbre,战争,zz,,斯皮尔伯格,spebg,汤姆汉克斯,tmhks,马特达蒙,mtdm,推荐,tj,ztj1,1998""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrxBt.jpg"" onclick=""alert('拯救大兵瑞恩,zjdbre,战争,zz,,斯皮尔伯格,spebg,汤姆汉克斯,tmhks,马特达蒙,mtdm,推荐,tj,ztj1,1998')"">&nbsp;</span>",33
爆裂鼓手,https://maoyan.com/films/246199,https://z3.ax1x.com/2021/05/31/2Zsi9g.jpg,blgs,,,,"推荐,tj,ztj2",2015,"<a href=""https://maoyan.com/films/246199""><img src=""https://z3.ax1x.com/2021/05/31/2Zsi9g.jpg"" tag=""爆裂鼓手,blgs,,,,推荐,tj,ztj2,2015""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zsi9g.jpg"" onclick=""alert('爆裂鼓手,blgs,,,,推荐,tj,ztj2,2015')"">&nbsp;</span>",34
霸王别姬,https://maoyan.com/films/1203,https://z3.ax1x.com/2021/05/31/2ZsF3Q.jpg,bwbj,,"中,z","陈凯歌,ckg,张国荣,zgr,张丰毅,zfy,巩俐,gl","推荐,tj,ztj2",1993,"<a href=""https://maoyan.com/films/1203""><img src=""https://z3.ax1x.com/2021/05/31/2ZsF3Q.jpg"" tag=""霸王别姬,bwbj,,中,z,陈凯歌,ckg,张国荣,zgr,张丰毅,zfy,巩俐,gl,推荐,tj,ztj2,1993""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZsF3Q.jpg"" onclick=""alert('霸王别姬,bwbj,,中,z,陈凯歌,ckg,张国荣,zgr,张丰毅,zfy,巩俐,gl,推荐,tj,ztj2,1993')"">&nbsp;</span>",35
百万美元宝贝,https://maoyan.com/films/13608,https://z3.ax1x.com/2021/05/31/2Zskcj.jpg,bwmybb,,,"克林特伊斯特伍德,kltystwd,摩根弗里曼,mgflm","推荐,tj,ztj2",2004,"<a href=""https://maoyan.com/films/13608""><img src=""https://z3.ax1x.com/2021/05/31/2Zskcj.jpg"" tag=""百万美元宝贝,bwmybb,,,克林特伊斯特伍德,kltystwd,摩根弗里曼,mgflm,推荐,tj,ztj2,2004""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zskcj.jpg"" onclick=""alert('百万美元宝贝,bwmybb,,,克林特伊斯特伍德,kltystwd,摩根弗里曼,mgflm,推荐,tj,ztj2,2004')"">&nbsp;</span>",36
触不可及,https://maoyan.com/films/70976,https://z3.ax1x.com/2021/05/31/2ZsC4S.jpg,cbkj,,,,"推荐,tj,ztj2",2011,"<a href=""https://maoyan.com/films/70976""><img src=""https://z3.ax1x.com/2021/05/31/2ZsC4S.jpg"" tag=""触不可及,cbkj,,,,推荐,tj,ztj2,2011""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZsC4S.jpg"" onclick=""alert('触不可及,cbkj,,,,推荐,tj,ztj2,2011')"">&nbsp;</span>",37
沉默的羔羊1-4,https://maoyan.com/films/2385,https://z3.ax1x.com/2021/05/31/2ZspAf.jpg,cmdgy,"犯罪,fz",,"朱迪福斯特,zdfst","推荐,tj,ztj2",1991,"<a href=""https://maoyan.com/films/2385""><img src=""https://z3.ax1x.com/2021/05/31/2ZspAf.jpg"" tag=""沉默的羔羊1-4,cmdgy,犯罪,fz,,朱迪福斯特,zdfst,推荐,tj,ztj2,1991""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZspAf.jpg"" onclick=""alert('沉默的羔羊1-4,cmdgy,犯罪,fz,,朱迪福斯特,zdfst,推荐,tj,ztj2,1991')"">&nbsp;</span>",38
穿普拉达的女魔头,https://maoyan.com/films/18109,https://z3.ax1x.com/2021/05/31/2ZrzHP.jpg,cplddnmt,,,"梅丽尔斯特里普,mlestlp,安妮海瑟薇,anhsw","推荐,tj,ztj2",2007,"<a href=""https://maoyan.com/films/18109""><img src=""https://z3.ax1x.com/2021/05/31/2ZrzHP.jpg"" tag=""穿普拉达的女魔头,cplddnmt,,,梅丽尔斯特里普,mlestlp,安妮海瑟薇,anhsw,推荐,tj,ztj2,2007""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZrzHP.jpg"" onclick=""alert('穿普拉达的女魔头,cplddnmt,,,梅丽尔斯特里普,mlestlp,安妮海瑟薇,anhsw,推荐,tj,ztj2,2007')"">&nbsp;</span>",39
达芬奇密码123,https://maoyan.com/films/230165,https://z3.ax1x.com/2021/05/31/2Zs9N8.jpg,dfqmm,"悬疑,xy",,"汤姆汉克斯,tmhks","推荐,tj,ztj2",2006,"<a href=""https://maoyan.com/films/230165""><img src=""https://z3.ax1x.com/2021/05/31/2Zs9N8.jpg"" tag=""达芬奇密码123,dfqmm,悬疑,xy,,汤姆汉克斯,tmhks,推荐,tj,ztj2,2006""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zs9N8.jpg"" onclick=""alert('达芬奇密码123,dfqmm,悬疑,xy,,汤姆汉克斯,tmhks,推荐,tj,ztj2,2006')"">&nbsp;</span>",40
大河恋,https://maoyan.com/films/1631,https://z3.ax1x.com/2021/05/31/2ZsuNT.jpg,dhl,,,"布拉德皮特,bldpt","推荐,tj,ztj2",1992,"<a href=""https://maoyan.com/films/1631""><img src=""https://z3.ax1x.com/2021/05/31/2ZsuNT.jpg"" tag=""大河恋,dhl,,,布拉德皮特,bldpt,推荐,tj,ztj2,1992""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZsuNT.jpg"" onclick=""alert('大河恋,dhl,,,布拉德皮特,bldpt,推荐,tj,ztj2,1992')"">&nbsp;</span>",41
谍影重重1-5,https://maoyan.com/films/10211,https://z3.ax1x.com/2021/05/31/2ZsK4U.jpg,dycc,"悬疑,xy",,"马特达蒙,mtdm","推荐,tj,ztj2",2002,"<a href=""https://maoyan.com/films/10211""><img src=""https://z3.ax1x.com/2021/05/31/2ZsK4U.jpg"" tag=""谍影重重1-5,dycc,悬疑,xy,,马特达蒙,mtdm,推荐,tj,ztj2,2002""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZsK4U.jpg"" onclick=""alert('谍影重重1-5,dycc,悬疑,xy,,马特达蒙,mtdm,推荐,tj,ztj2,2002')"">&nbsp;</span>",42
大侦探福尔摩斯12,https://maoyan.com/films/37749,https://z3.ax1x.com/2021/05/31/2ZsQCF.jpg,dztfems,"悬疑,xy",,"小罗伯特唐尼,xlbttn","推荐,tj,ztj2",2010,"<a href=""https://maoyan.com/films/37749""><img src=""https://z3.ax1x.com/2021/05/31/2ZsQCF.jpg"" tag=""大侦探福尔摩斯12,dztfems,悬疑,xy,,小罗伯特唐尼,xlbttn,推荐,tj,ztj2,2010""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2ZsQCF.jpg"" onclick=""alert('大侦探福尔摩斯12,dztfems,悬疑,xy,,小罗伯特唐尼,xlbttn,推荐,tj,ztj2,2010')"">&nbsp;</span>",43
返老还童,https://maoyan.com/films/18318,https://z3.ax1x.com/2021/05/31/2Zsl34.jpg,flht,"爱情,aq",,"布拉德皮特,bldpt,凯特布兰切特,ktblqt","推荐,tj,ztj2",2008,"<a href=""https://maoyan.com/films/18318""><img src=""https://z3.ax1x.com/2021/05/31/2Zsl34.jpg"" tag=""返老还童,flht,爱情,aq,,布拉德皮特,bldpt,凯特布兰切特,ktblqt,推荐,tj,ztj2,2008""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zsl34.jpg"" onclick=""alert('返老还童,flht,爱情,aq,,布拉德皮特,bldpt,凯特布兰切特,ktblqt,推荐,tj,ztj2,2008')"">&nbsp;</span>",44
钢铁侠123,https://maoyan.com/films/228866,https://z3.ax1x.com/2021/05/31/2Zs1gJ.jpg,"科幻,kh,动作,dz",,marvel,"小罗伯特唐尼,xlbttn","推荐,tj,ztj2",2008,"<a href=""https://maoyan.com/films/228866""><img src=""https://z3.ax1x.com/2021/05/31/2Zs1gJ.jpg"" tag=""钢铁侠123,科幻,kh,动作,dz,,marvel,小罗伯特唐尼,xlbttn,推荐,tj,ztj2,2008""></a><span class=""tip"" id=""https://z3.ax1x.com/2021/05/31/2Zs1gJ.jpg"" onclick=""alert('钢铁侠123,科幻,kh,动作,dz,,marvel,小罗伯特唐尼,xlbttn,推荐,tj,ztj2,2008')"">&nbsp;</span>",45
